UPC,name,id
3182550780919,Royal Canin Veterinary Diet - Urinary S/O Moderate Calorie,bitiba.co.uk_181
3182550711302,Royal Canin Veterinary Diet - Obesity Management DP 34,bitiba.co.uk_182
859610007523,Blue Buffalo Basics Grain Free Adult Turkey and Potato Dry Dog Food - 11-lb,concordpet_001
859610007530,Blue Buffalo Basics Grain Free Adult Turkey and Potato Dry Dog Food 24-lb,concordpet_002
859610005857,Blue Buffalo Basics Healthy Weight Adult Turkey and Potato Recipe Dry Dog Food - 24-lb,concordpet_003
859610005826,Blue Buffalo Basics Large Breed Adult Turkey and Potato Recipe Dry Dog Food - 24-lb,concordpet_004
859610005765,Blue Buffalo Basics Puppy Turkey and Potato Recipe Dry Dog Food - 11-lb,concordpet_005
859610005772,Blue Buffalo Basics Puppy Turkey and Potato Recipe Dry Dog Food 24-lb,concordpet_006
859610006717,Blue Buffalo Basics Senior Turkey and Potato Recipe Dry Dog Food - 24-lb,concordpet_007
859610005802,Blue Buffalo Basics Small Breed Adult Turkey and Potato Recipe Dry Dog Food - 11-lb,concordpet_008
840243100026,Blue Buffalo BLUE Basics Grain Free Adult Duck and Potato Recipe Dry Dog Food - 22-lb,concordpet_009
840243100033,Blue Buffalo BLUE Basics Grain Free Adult Lamb and Potato Recipe Dry Dog Food - 4-lb,concordpet_010
840243100057,Blue Buffalo BLUE Basics Grain Free Adult Lamb and Potato Recipe Dry Dog Food 1 22-lb,concordpet_011
840243100040,Blue Buffalo BLUE Basics Grain Free Adult Lamb and Potato Recipe Dry Dog Food 11-lb,concordpet_012
840243105441,Blue Buffalo BLUE Basics Grain Free Adult Salmon and Potato Recipe Dry Dog Food - 11-lb,concordpet_013
840243105465,Blue Buffalo BLUE Basics Grain Free Adult Salmon and Potato Recipe Dry Dog Food 22-lb,concordpet_014
840243100064,Blue Buffalo BLUE Basics Grain Free Large Breed Adult Lamb and Potato Recipe Dry Dog Food - 22-lb,concordpet_015
840243100071,Blue Buffalo BLUE Basics Grain Free Small Breed Adult Lamb and Potato Recipe Dry Dog Food - 4-lb,concordpet_016
840243100088,Blue Buffalo BLUE Basics Grain Free Small Breed Adult Lamb and Potato Recipe Dry Dog Food 11-lb,concordpet_017
840243100699,Blue Buffalo BLUE Freedom Adult Healthy Weight Chicken Recipe Dry Dog Food - 24-lb,concordpet_018
840243100798,Blue Buffalo BLUE Freedom Adult Lamb Recipe Dry Dog Food - 4-lb,concordpet_019
840243100811,Blue Buffalo BLUE Freedom Adult Lamb Recipe Dry Dog Food 24-lb,concordpet_020
840243100835,Blue Buffalo BLUE Freedom Large Breed Adult Beef Recipe Dry Dog Food - 24-lb,concordpet_021
840243100828,Blue Buffalo BLUE Freedom Large Breed Adult Lamb Recipe Dry Dog Food - 24-lb,concordpet_022
840243100781,Blue Buffalo BLUE Freedom Large Breed Puppy Chicken Recipe Dry Dog Food - 24-lb,concordpet_023
840243100675,Blue Buffalo BLUE Freedom Senior Chicken Recipe Dry Dog Food - 24-lb,concordpet_024
840243105717,Blue Buffalo BLUE Life Protection Formula Adult Toy Breed Chicken and Brown Rice Dry Dog Food - 4-lb,concordpet_025
840243102709,Blue Buffalo BLUE Life Protection Large Breed Adult Lamb and Brown Rice Recipe Dry Dog Food - 30-lb,concordpet_026
840243101191,Blue Buffalo BLUE Wilderness Adult Small Bite Chicken Recipe Dry Dog Food - 11-lb,concordpet_027
840243101207,Blue Buffalo BLUE Wilderness Adult Small Bite Chicken Recipe Dry Dog Food 24-lb,concordpet_028
859610008872,Blue Buffalo BLUE Wilderness Large Breed Puppy Chicken Dry Dog Food - 24-lb,concordpet_029
840243100958,Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Adult Healthy Weight Red Meat Dry Dog Food - 22-lb,concordpet_030
840243100989,Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Puppy Red Meat Dry Dog Food - 22-lb,concordpet_031
840243101016,Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Senior Red Meat Dry Dog Food - 22-lb,concordpet_032
859610008810,Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food - 4-lb,concordpet_033
840243100927,Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food 10-lb,concordpet_034
840243110025,Blue Buffalo BLUE Wilderness Toy Breed Adult Chicken Recipe Dry Dog Food - 4-lb,concordpet_035
840243105861,Blue Buffalo Freedom Grai 1 24-lb,concordpet_036
840243105854,Blue Buffalo Freedom Grai 11-lb,concordpet_037
859610006847,Blue Buffalo Freedom Grain Free Chicken Recipe Large Breed Adult Dry Dog Food - 24-lb,concordpet_038
859610006731,Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food - 4-lb,concordpet_039
859610006762,Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food 1 24-lb,concordpet_040
859610006755,Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food 11-lb,concordpet_041
840243105847,Blue Buffalo Freedom Grain-Free Adult Beef Recipe Dry Dog Food - 4-lb,concordpet_042
859610000333,Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food - 6-lb,concordpet_043
859610000371,Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food 1 30-lb,concordpet_044
859610000357,Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food 15-lb,concordpet_045
859610007448,Blue Buffalo Life Protection Adult Small Bites Chicken and Brown Rice Recipe Dry Dog Food - 15-lb,concordpet_046
859610007455,Blue Buffalo Life Protection Adult Small Bites Chicken and Brown Rice Recipe Dry Dog Food 30-lb,concordpet_047
840243105236,Blue Buffalo Life Protection Large Breed Adult Fish and Oatmeal Recipe Dry Dog Food - 30-lb,concordpet_048
840243105250,Blue Buffalo Life Protection Large Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food - 30-lb,concordpet_049
859610000425,Blue Buffalo Life Protection Large Breed Puppy Chicken and Brown Rice Recipe Dry Dog Food - 15-lb,concordpet_050
859610000449,Blue Buffalo Life Protection Large Breed Puppy Chicken and Brown Rice Recipe Dry Dog Food 30-lb,concordpet_051
840243105243,Blue Buffalo Life Protection Large Breed Senior Chicken and Brown Rice Recipe Dry Dog Food - 30-lb,concordpet_052
859610000012,Blue Buffalo Life Protection Puppy Chicken and Brown Rice Recipe Dry Dog Food - 6-lb,concordpet_053
859610000050,Blue Buffalo Life Protection Puppy Chicken and Brown Rice Recipe Dry Dog Food 1 30-lb,concordpet_054
859610000036,Blue Buffalo Life Protection Puppy Chicken and Brown Rice Recipe Dry Dog Food 15-lb,concordpet_055
840243105144,Blue Buffalo Life Protection Puppy Lamb and Oatmeal Recipe Dry Dog Food - 6-lb,concordpet_056
840243105526,Blue Buffalo Life Protection Puppy Lamb and Oatmeal Recipe Dry Dog Food 30-lb,concordpet_057
840243105281,Blue Buffalo Life Protection Small Breed Adult Fish and Brown Rice Recipe Dry Dog Food - 6-lb,concordpet_058
840243105298,Blue Buffalo Life Protection Small Breed Adult Fish and Brown Rice Recipe Dry Dog Food 15-lb,concordpet_059
840243105670,Blue Buffalo Life Protection Small Breed Adult Lamb and Brown Rice Recipe Dry Dog Food - 6-lb,concordpet_060
840243105687,Blue Buffalo Life Protection Small Breed Adult Lamb and Brown Rice Recipe Dry Dog Food 15-lb,concordpet_061
840243105267,Blue Buffalo Life Protection Small Breed Puppy Chicken and Oatmeal Recipe Dry Dog Food - 6-lb,concordpet_062
840243105274,Blue Buffalo Life Protection Small Breed Puppy Chicken and Oatmeal Recipe Dry Dog Food 15-lb,concordpet_063
840243105304,Blue Buffalo Life Protection Small Breed Senior Chicken and Brown Rice Recipe Dry Dog Food - 6-lb,concordpet_064
840243105311,Blue Buffalo Life Protection Small Breed Senior Chicken and Brown Rice Recipe Dry Dog Food 15-lb,concordpet_065
840243122165,Blue Buffalo Regionals Grain Free Colorado Roast with Lamb Yukon Gold Potatoes Peas and Apples Dry Dog Food - 4-lb,concordpet_066
840243122189,Blue Buffalo Regionals Grain Free Colorado Roast with Lamb Yukon Gold Potatoes Peas and Apples Dry Dog Food 1 22-lb,concordpet_067
840243122172,Blue Buffalo Regionals Grain Free Colorado Roast with Lamb Yukon Gold Potatoes Peas and Apples Dry Dog Food 11-lb,concordpet_068
840243122103,Blue Buffalo Regionals Grain Free Texas BBQ with Beef Yukon Gold Potatoes Carrots Sweet Potato and Apple Dry Dog Food - 4-lb,concordpet_069
840243122127,Blue Buffalo Regionals Grain Free Texas BBQ with Beef Yukon Gold Potatoes Carrots Sweet Potato and Apple Dry Dog Food 1 22-lb,concordpet_070
840243122110,Blue Buffalo Regionals Grain Free Texas BBQ with Beef Yukon Gold Potatoes Carrots Sweet Potato and Apple Dry Dog Food 11-lb,concordpet_071
840243122073,Blue Buffalo Regionals Nantucket Feast with Cod Shrimp Yukon Gold Potatoes and Cranberries Dry Dog Food - 4-lb,concordpet_072
840243122097,Blue Buffalo Regionals Nantucket Feast with Cod Shrimp Yukon Gold Potatoes and Cranberries Dry Dog Food 1 22-lb,concordpet_073
840243122080,Blue Buffalo Regionals Nantucket Feast with Cod Shrimp Yukon Gold Potatoes and Cranberries Dry Dog Food 11-lb,concordpet_074
840243122134,Blue Buffalo Regionals Santa Fe Grill with Chicken Brown Rice Chickpea and Tomato Dry Dog Food - 4-lb,concordpet_075
840243122158,Blue Buffalo Regionals Santa Fe Grill with Chicken Brown Rice Chickpea and Tomato Dry Dog Food 1 22-lb,concordpet_076
840243122141,Blue Buffalo Regionals Santa Fe Grill with Chicken Brown Rice Chickpea and Tomato Dry Dog Food 11-lb,concordpet_077
840243104093,Blue Buffalo Wilderness Grain Free Adult Large Breed Healthy Weight Chicken Dry Dog Food - 24-lb,concordpet_078
840243104055,Blue Buffalo Wilderness Grain Free Adult Small Breed Healthy Weight Chicken Dry Dog Food - 11-lb,concordpet_079
840243111671,Blue Buffalo Wilderness Grain Free Bayou Blend with Alligator and Catfish Dry Dog Food - 4-lb,concordpet_080
840243111695,Blue Buffalo Wilderness Grain Free Bayou Blend with Alligator and Catfish Dry Dog Food 22-lb,concordpet_081
840243117277,Blue Buffalo Wilderness Grain Free Denali Dinner with Salmon Venison and Halibut Dry Dog Food - 4-lb,concordpet_082
840243117291,Blue Buffalo Wilderness Grain Free Denali Dinner with Salmon Venison and Halibut Dry Dog Food 22-lb,concordpet_083
840243105113,Blue Buffalo Wilderness Grain Free Duck Recipe Dry Dog Food - 4.5-lb,concordpet_084
840243105137,Blue Buffalo Wilderness Grain Free Duck Recipe Dry Dog Food 1 24-lb,concordpet_085
840243105120,Blue Buffalo Wilderness Grain Free Duck Recipe Dry Dog Food 11-lb,concordpet_086
840243120086,Blue Buffalo Wilderness Grain Free Flatland Feast Turkey Quail and Duck Dry Dog Food - 22-lb,concordpet_087
859610005727,Blue Buffalo Wilderness Grain Free Healthy Weight-Chicken Dry Dog Food - 24-lb,concordpet_088
859610005703,Blue Buffalo Wilderness Grain Free Large Breed Chicken Dry Dog Food - 24-lb,concordpet_089
