clusterID,Values,Size,IDs
cluster_9532, GETBE23B5DAEHXX; , 1,techcrave_2480; 
cluster_18525, 4JB83UTABA; IN5AY512; 192545639835; , 2,howardcomputer_1153; microcart_10; 
cluster_14359, FUJBUG0030000WAAACU; , 1,techcrave_906; 
cluster_5119, 889296789314; , 1,techcrave_608; 
cluster_4787, 290088101977; 2YD49PADEMO; , 1,jw_61; 
cluster_8378, 889899601419; , 1,buydig_229; 
cluster_5413, 888863620746; B01F1Z7DEE; SA527139N9; , 1,electronicsface_29; 
cluster_9391, 889349863794; , 1,techcrave_1841; 
cluster_14479, 131313294; , 1,walmart_569; 
cluster_5886, SNOINS185075SA; , 1,techcrave_2026; 
cluster_7496, X510UA-EJ1227T; 4718017064392; , 1,box_0475; 
cluster_3254, 81EU00G7US; , 1,macmall_522; 
cluster_6837, LEN20MM0005US; , 1,techcrave_1414; 
cluster_13604, 4HCNK; 884116260295; , 1,howardcomputer_55; 
cluster_14172, 80XL003HUS; 190781301608; B06W5RPQ5Z; , 1,electronicsface_225; 
cluster_6567, APMPXR2LLA; 190198393401; MPXR2LLA; , 1,sdicraft_87; 
cluster_13936, 192563419525; , 1,antonline_732; 
cluster_334, Q0EHMLAMBZV8VW0K; 192545798297; , 1,massgenie_407; 
cluster_2608, 889349886786; , 1,techcrave_1868; 
cluster_20346, 192076259564; 40797778; 15BP175NR; 81CG019KUS; , 3,pcmg_169; savingslots_386; antonline_1076; 
cluster_6349, 4718017001717; GM501GS-EI004T; , 1,box_0306; 
cluster_7052, Q326FABI7T13; 192876093894; , 1,bestbuy_292; 
cluster_11507, 631454386; 191114118443; , 1,walmart_651; 
cluster_4998, 889349653906; , 1,rlsteinway_16; 
cluster_9322, RTDBUIFZKKXORYB1; 192018229938; , 1,massgenie_265; 
cluster_13319, NOT05256; 20KS001JUK; 192076927494; , 1,cclonline_131; 
cluster_1873, 192076695065; , 1,techcrave_1182; 
cluster_2861, I54813083GRYP; 845891; 884116313083; , 1,microcenter_24; 
cluster_7577, 40989063; 20LB0011US; 192330060592; , 1,pcmg_473; 
cluster_10253, 54735609; 888863956043; , 1,walmart_182; 
cluster_6340, 888182572542; , 1,techcrave_466; 
cluster_4965, 20L7001VUK; 192158885735; , 1,box_0051; 
cluster_15103, 2WM16UTABA; 40815601; , 2,pcmg_23; macmall_56; 
cluster_846, HEZBSG315X1X; X1X79UTABA; , 1,sdicraft_429; 
cluster_2654, TP510UARH31T; 191114347201; , 1,savingslots_481; 
cluster_11377, 193124680729; , 1,antonline_576; 
cluster_11734, SE4NCDDAEFPO; , 1,portableone_321; 
cluster_3077, BBY3X8JJFX; 884116293033; , 1,truecurate_57; 
cluster_11002, E825FCA4C416FE6D; , 1,massgenie_114; 
cluster_11296, VC6B2FDABDXX; , 1,portableone_335; 
cluster_11555, 4719331945206; Sabre171060803; , 1,jw_88; 
cluster_5253, 192158804286; , 1,antonline_464; 
cluster_10992, CF311003VM; , 1,howardcomputer_2293; 
cluster_5415, GETBE23YQDAEDXX; , 1,techcrave_2590; 
cluster_21028, 192018926691; 3PD93UTABA; 40971446; HECB11G63P93; , 4,macmall_267; antonline_90; bhphotovideo_85; pcmg_263; 
